dx	0.02
dy	0.02
0.96	0.96	FM
0.96	0.98	SK
0.96	1.0	SK
0.96	1.02	SK
0.96	1.04	SK
0.96	1.06	SK
0.96	1.08	SK
0.96	1.1	SK
0.96	1.12	SK
0.96	1.14	SK
0.96	1.16	DW
0.96	1.18	DW
0.96	1.2	DW
0.98	0.96	FM
0.98	0.98	FM
0.98	1.0	SK
0.98	1.02	SK
0.98	1.04	SK
0.98	1.06	SK
0.98	1.08	SK
0.98	1.1	SK
0.98	1.12	SK
0.98	1.14	SK
0.98	1.16	DW
0.98	1.18	DW
0.98	1.2	DW
1.0	0.96	FM
1.0	0.98	FM
1.0	1.0	FM
1.0	1.02	SK
1.0	1.04	SK
1.0	1.06	SK
1.0	1.08	SK
1.0	1.1	SK
1.0	1.12	SK
1.0	1.14	SK
1.0	1.16	DW
1.0	1.18	DW
1.0	1.2	VW
1.02	0.96	FM
1.02	0.98	FM
1.02	1.0	FM
1.02	1.02	FM
1.02	1.04	SK
1.02	1.06	SK
1.02	1.08	SK
1.02	1.1	SK
1.02	1.12	SK
1.02	1.14	SK
1.02	1.16	DW
1.02	1.18	DW
1.02	1.2	DW
1.04	0.96	FM
1.04	0.98	FM
1.04	1.0	FM
1.04	1.02	FM
1.04	1.04	FM
1.04	1.06	FM
1.04	1.08	SK
1.04	1.1	SK
1.04	1.12	SK
1.04	1.14	SK
1.04	1.16	DW
1.04	1.18	DW
1.04	1.2	VW
1.06	0.96	FM
1.06	0.98	FM
1.06	1.0	FM
1.06	1.02	FM
1.06	1.04	FM
1.06	1.06	FM
1.06	1.08	SK
1.06	1.1	SK
1.06	1.12	SK
1.06	1.14	SK
1.06	1.16	DW
1.06	1.18	VW
1.06	1.2	VW
1.08	0.96	BL
1.08	0.98	BL
1.08	1.0	BL
1.08	1.02	BL
1.08	1.04	BL
1.08	1.06	FM
1.08	1.08	BL
1.08	1.1	VW
1.08	1.12	VW
1.08	1.14	VW
1.08	1.16	VW
1.08	1.18	VW
1.08	1.2	VW
1.1	0.96	BL
1.1	0.98	BL
1.1	1.0	BL
1.1	1.02	BL
1.1	1.04	BL
1.1	1.06	BL
1.1	1.08	BL
1.1	1.1	VW
1.1	1.12	VW
1.1	1.14	VW
1.1	1.16	VW
1.1	1.18	VW
1.1	1.2	VW
1.12	0.96	BL
1.12	0.98	BL
1.12	1.0	BL
1.12	1.02	BL
1.12	1.04	BL
1.12	1.06	BL
1.12	1.08	BL
1.12	1.1	VW
1.12	1.12	VW
1.12	1.14	VW
1.12	1.16	VW
1.12	1.18	VW
1.12	1.2	VW
1.14	0.96	BL
1.14	0.98	BL
1.14	1.0	BL
1.14	1.02	BL
1.14	1.04	BL
1.14	1.06	BL
1.14	1.08	BL
1.14	1.1	BL
1.14	1.12	VW
1.14	1.14	VW
1.14	1.16	VW
1.14	1.18	VW
1.14	1.2	VW
1.16	0.96	BL
1.16	0.98	BL
1.16	1.0	BL
1.16	1.02	BL
1.16	1.04	BL
1.16	1.06	BL
1.16	1.08	BL
1.16	1.1	BL
1.16	1.12	VW
1.16	1.14	VW
1.16	1.16	VW
1.16	1.18	VW
1.16	1.2	VW
1.18	0.96	BL
1.18	0.98	BL
1.18	1.0	BL
1.18	1.02	BL
1.18	1.04	BL
1.18	1.06	BL
1.18	1.08	BL
1.18	1.1	BL
1.18	1.12	VW
1.18	1.14	VW
1.18	1.16	VW
1.18	1.18	VW
1.18	1.2	VW
1.2	0.96	BL
1.2	0.98	BL
1.2	1.0	BL
1.2	1.02	BL
1.2	1.04	BL
1.2	1.06	BL
1.2	1.08	BL
1.2	1.1	BL
1.2	1.12	BL
1.2	1.14	VW
1.2	1.16	VW
1.2	1.18	VW
1.2	1.2	VW
