0 0 0 	0 0 0.0 
0 0 1 	0.3333333333333333 0.3333333333333333 0.204 
0 0 2 	0.3333333333333333 0.3333333333333333 0.816 
0 0 3 	0.6666666666666666 0.6666666666666666 1.02 
0 0 4 	0.6666666666666666 0.6666666666666666 1.632 
0 0 5 	0 0 1.8359999999999999 
0 0 6 	0 0 2.448 
0 0 7 	0.3333333333333333 0.3333333333333333 2.652 
0 0 8 	0.3333333333333333 0.3333333333333333 3.264 
0 0 9 	0.6666666666666666 0.6666666666666666 3.468 
0 0 10 	0.6666666666666666 0.6666666666666666 4.08 
0 0 11 	0 0 4.284 
0 0 12 	0 0 4.896 
0 0 13 	0.3333333333333333 0.3333333333333333 5.1 
0 0 14 	0.3333333333333333 0.3333333333333333 5.712 
0 0 15 	0.6666666666666666 0.6666666666666666 5.916 
0 0 16 	0.6666666666666666 0.6666666666666666 6.528 
0 0 17 	0 0 6.731999999999999 
0 0 18 	0 0 7.343999999999999 
0 0 19 	0.3333333333333333 0.3333333333333333 7.547999999999999 
0 0 20 	0.3333333333333333 0.3333333333333333 8.16 
0 0 21 	0.6666666666666666 0.6666666666666666 8.363999999999999 
0 0 22 	0.6666666666666666 0.6666666666666666 8.975999999999999 
0 0 23 	0 0 9.18 
0 0 24 	0 0 9.792 
0 0 25 	0.3333333333333333 0.3333333333333333 9.996 
0 0 26 	0.3333333333333333 0.3333333333333333 10.608 
0 0 27 	0.6666666666666666 0.6666666666666666 10.812 
0 0 28 	0.6666666666666666 0.6666666666666666 11.424 
0 0 29 	0 0 11.628 
0 1 0 	0 1 0.0 
0 1 1 	0.3333333333333333 1.3333333333333333 0.204 
0 1 2 	0.3333333333333333 1.3333333333333333 0.816 
0 1 3 	0.6666666666666666 1.6666666666666665 1.02 
0 1 4 	0.6666666666666666 1.6666666666666665 1.632 
0 1 5 	0 1 1.8359999999999999 
0 1 6 	0 1 2.448 
0 1 7 	0.3333333333333333 1.3333333333333333 2.652 
0 1 8 	0.3333333333333333 1.3333333333333333 3.264 
0 1 9 	0.6666666666666666 1.6666666666666665 3.468 
0 1 10 	0.6666666666666666 1.6666666666666665 4.08 
0 1 11 	0 1 4.284 
0 1 12 	0 1 4.896 
0 1 13 	0.3333333333333333 1.3333333333333333 5.1 
0 1 14 	0.3333333333333333 1.3333333333333333 5.712 
0 1 15 	0.6666666666666666 1.6666666666666665 5.916 
0 1 16 	0.6666666666666666 1.6666666666666665 6.528 
0 1 17 	0 1 6.731999999999999 
0 1 18 	0 1 7.343999999999999 
